RANKING,MOVIE,DISTRIBUTOR,RELEASE YEAR,GROSS (USD in millions),ADJUSTED GROSS (USD in Millions)
1,Gone with the Wind,MGM,1939,198.68,1855.13
2,Star Wars,Fox,1977,461.00,1353.68
3,The Sound of Music,Fox,1965,163.21,1224.45
4,E.T.: The Extra-Terrestrial,Universal,1982,435.11,1109.23
5,Titanic,Paramount,1997,658.67,1097.01
6,The Ten Commandments,Paramount,1956,85.40,1037.70
7,Jaws,Universal,1975,260.00,1001.27
8,Snow White and the Seven Dwarfs,Disney / RKO,1937,184.93,943.39
9,Doctor Zhivago,MGM,1965,111.72,807.84
10,Avatar,Fox,2009,760.51,801.50
11,Ben-Hur,MGM,1959,74.00,789.56
12,The Empire Strikes Back,Fox,1980,290.27,770.86
13,The Exorcist,Warner Bros.,1973,204.67,767.43
14,Return of the Jedi,Fox,1983,309.31,740.50
15,Mary Poppins,Disney,1964,102.27,731.31
16,Jurassic Park,Universal,1993,402.45,730.20
17,The Lion King,Disney,1994,422.78,724.68
18,Star Wars: Episode I - The Phantom Menace,Fox,1999,474.54,719.80
19,The Sting,Universal,1973,159.62,703.42
20,Raiders of the Lost Ark,Paramount,1981,248.16,695.82
21,The Graduate,AVCO Embassy,1967,104.90,653.29
22,Forrest Gump,Paramount,1994,329.69,638.09
23,The Godfather,Paramount,1972,134.97,626.65
24,Marvel's The Avengers,Disney,2012,623.36,621.79
25,The Dark Knight,Warner Bros.,2008,534.86,591.31
26,Grease,Paramount,1978,188.39,590.93
27,My Fair Lady,Warner Bros.,1964,72.43,582.75
28,Shrek 2,DreamWorks,2004,441.23,564.14
29,Ghostbusters,Columbia,1984,238.63,562.72
30,Around the World in Eighty Days,United Artists,1956,42.00,558.62
31,Beverly Hills Cop,Paramount,1984,234.76,554.76
32,Spider-Man,Sony / Columbia,2002,403.71,552.66
33,Independence Day,Fox,1996,306.17,550.00
34,Love Story,Paramount,1970,106.40,545.03
35,Home Alone,Fox,1990,285.76,537.67
36,Butch Cassidy and the Sundance Kid,Fox,1969,102.31,530.34
37,The Robe,Fox,1953,36.00,519.71
38,Airport,Universal,1970,100.49,514.76
39,Pirates of the Caribbean: Dead Man's Chest,Disney,2006,423.32,513.15
40,Cleopatra,Fox,1963,57.78,507.90
41,Batman,Warner Bros.,1989,252.10,501.68
42,The Lord of the Rings: The Return of the King,New Line,2003,377.03,496.45
43,American Graffiti,Universal,1973,115.00,492.38
44,101 Dalmatians,Disney,1961,144.88,490.51
45,Finding Nemo,Disney,2003,380.84,488.34
46,Thunderball,United Artists,1965,63.60,486.27
47,Blazing Saddles,Warner Bros.,1974,119.50,485.64
48,National Lampoon's Animal House,Universal,1978,141.60,480.47
49,Tootsie,Columbia,1982,177.20,478.56
50,Spider-Man 2,Sony / Columbia,2004,373.52,477.58
51,The Passion of the Christ,Newmarket,2004,370.77,474.05
52,Back to the Future,Universal,1985,210.61,471.05
53,Lady and the Tramp,Disney,1955,88.30,471.05
54,Star Wars: Episode III - Revenge of the Sith,Fox,2005,380.27,471.04
55,The Lord of the Rings: The Two Towers,New Line,2002,341.79,467.79
56,The Greatest Show on Earth,Paramount,1952,34.00,467.05
57,Bambi,Disney / RKO,1942,102.80,462.95
58,Close Encounters of the Third Kind,Columbia,1977,132.09,460.75
59,The Sixth Sense,Disney,1999,293.51,460.56
60,The Jungle Book,Disney,1967,135.48,459.80
61,Superman,Warner Bros.,1978,40.93,455.42
62,Smokey and the Bandit,Universal,1977,126.74,451.25
63,The Towering Inferno,Fox,1974,107.08,449.86
64,The Dark Knight Rises,Warner Bros.,2012,448.14,447.01
65,Harry Potter and the Sorcerer's Stone,Warner Bros.,2001,317.58,446.29
66,Peter Pan,Disney / RKO,1953,87.40,445.48
67,The Lord of the Rings: The Fellowship of the Ring,New Line,2001,314.78,442.23
68,One Flew Over the Cuckoo's Nest,United Artists,1975,112.00,438.07
69,Rocky,United Artists,1976,117.24,437.02
70,Twister,Warner Bros.,1996,241.72,434.22
71,Men in Black,Sony / Columbia,1997,250.69,433.66
72,Cinderella,Disney  / RKO,1950,88.00,429.75
73,Pinocchio,Disney  / RKO,1940,87.00,427.50
74,Transformers: Revenge of the Fallen,Paramount / DreamWorks,2009,402.11,425.70
75,Star Wars: Episode II - Attack of the Clones,Fox,2002,310.68,425.31
76,Indiana Jones and the Temple of Doom,Paramount,1984,179.87,425.05
77,Goldfinger,United Artists,1964,51.08,423.47
78,White Christmas,Paramount,1954,26.00,421.31
79,Mrs. Doubtfire,Fox,1993,219.20,420.39
80,M.A.S.H.,Fox,1970,81.60,418.00
81,West Side Story,MGM,1961,43.66,417.72
82,Toy Story 3,Disney,2010,415.00,417.64
83,Aladdin,Disney,1992,217.35,415.89
84,How the West Was Won,MGM / Cinerama,1963,46.00,412.37
85,Ghost,Paramount,1990,217.63,409.48
86,South Pacific,Fox,1958,35.00,408.68
87,The Best Years of Our Lives,RKO,1946,23.65,408.22
88,The Hunger Games,Lionsgate,2012,408.01,406.99
89,Pirates of the Caribbean: The Curse of the Black Pearl,Disney,2003,305.41,402.15
90,The Lost World: Jurassic Park,Universal,1997,229.09,396.29
91,The Bridge on the River Kwai,Columbia,1957,33.00,395.76
92,"It's a Mad,Mad,Mad,Mad World ",MGM,1963,46.33,395.58
93,The Poseidon Adventure,Fox,1972,84.56,394.96
94,"Monsters,Inc.",Disney,2001,289.76,393.50
95,Indiana Jones and the Last Crusade,Paramount,1989,197.17,392.37
96,From Here to Eternity,Columbia,1953,27.00,389.78
97,Spider-Man 3,Sony / Columbia,2007,336.53,388.38
98,Terminator 2: Judgment Day,TriStar,1991,204.84,386.33
99,Toy Story 2,Disney,1999,245.85,385.78
100,Samson and Delilah,Paramount,1949,26.00,385.17
101,Quo Vadis,MGM,1951,27.00,383.23
102,How the Grinch Stole Christmas,Universal,2000,260.04,383.07
103,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,2011,381.01,381.49
104,Top Gun,Paramount,1986,179.80,381.36
105,Shrek,DreamWorks,2001,267.67,376.15
106,This Is the Army,Warner Bros.,1943,18.00,376.11
107,Crocodile Dundee,Paramount,1986,174.80,374.11
108,Iron Man 3,Disney,2013,374.34,372.78
109,Shrek the Third,Paramount / DreamWorks,2007,322.72,372.44
110,The Matrix Reloaded,Warner Bros.,2003,281.55,370.74
111,Giant,Warner Bros.,1956,30.00,370.69
112,Guess Who's Coming to Dinner,Columbia,1967,56.67,368.80
113,Transformers,Paramount / DreamWorks,2007,319.25,368.43
114,Saving Private Ryan,DreamWorks,1998,216.34,363.09
115,Young Frankenstein,Fox,1974,86.27,362.44
116,"The Chronicles of Narnia: The Lion,the Witch and the Wardrobe",Disney,2005,291.71,361.34
117,Fantasia,Disney,1940,80.00,361.25
118,Gremlins,Warner Bros.,1984,153.08,361.13
119,Harry Potter and the Goblet of Fire,Warner Bros.,2005,290.01,359.24
120,Fiddler on the Roof,United Artists,1971,78.00,358.72
121,Harry Potter and the Chamber of Secrets,Warner Bros.,2002,261.99,358.65
122,Beauty and the Beast,Disney,1991,218.97,357.49
123,Pirates of the Caribbean: At World's End,Disney,2007,309.42,357.09
124,Meet the Fockers,Universal,2004,279.26,357.06
125,Song of the South,Disney,1946,65.00,354.81
126,Transformers: Dark of the Moon,Paramount / DreamWorks,2011,352.39,352.84
127,The Fugitive,Warner Bros.,1993,183.88,352.57
128,Iron Man,Paramount,2008,318.41,352.12
129,The Bells of St. Mary's,RKO,1945,19.00,350.84
