Film,Release Year,1998 Rank,2007 Rank,Change
Citizen Kane,1941,1,1,0
Casablanca,1942,2,3,-1
The Godfather,1972,3,2,1
Gone with the Wind,1939,4,6,-2
Lawrence of Arabia,1962,5,7,-2
The Wizard of Oz,1939,6,10,-4
The Graduate,1967,7,17,-10
On the Waterfront,1954,8,19,-11
Schindler's List,1993,9,8,1
Singin' in the Rain,1952,10,5,5
It's a Wonderful Life,1946,11,20,-9
Sunset Boulevard,1950,12,16,-4
The Bridge on the River Kwai,1957,13,36,-23
Some Like It Hot,1959,14,22,-8
Star Wars,1977,15,13,2
All About Eve,1950,16,28,-12
The African Queen,1951,17,65,-48
Psycho,1960,18,14,4
The General,1926,101,18,83
Chinatown,1974,19,21,-2
One Flew Over the Cuckoo's Nest,1975,20,33,-13
The Grapes of Wrath,1940,21,23,-2
2001: A Space Odyssey,1968,22,15,7
The Maltese Falcon,1941,23,31,-8
Raging Bull,1980,24,4,20
E.T. the Extra-Terrestrial,1982,25,24,1
Dr. Strangelove,1964,26,39,-13
Bonnie and Clyde,1967,27,42,-15
Apocalypse Now,1979,28,30,-2
Mr. Smith Goes to Washington,1939,29,26,3
The Treasure of the Sierra Madre,1948,30,38,-8
Annie Hall,1977,31,35,-4
The Godfather Part II,1974,32,32,0
High Noon,1952,33,27,6
To Kill a Mockingbird,1962,34,25,9
It Happened One Night,1934,35,46,-11
Midnight Cowboy,1969,36,43,-7
The Best Years of Our Lives,1946,37,37,0
Double Indemnity,1944,38,29,9
Doctor Zhivago,1965,39,0,39
North by Northwest,1959,40,55,-15
West Side Story,1961,41,51,-10
Rear Window,1954,42,48,-6
King Kong,1933,43,41,2
The Birth of a Nation,1915,44,0,44
A Streetcar Named Desire,1951,45,47,-2
A Clockwork Orange,1971,46,70,-24
Taxi Driver,1976,47,52,-5
Jaws,1975,48,56,-8
Snow White and the Seven Dwarfs,1937,49,34,15
Intolerance,1916,101,49,52
Butch Cassidy and the Sundance Kid,1969,50,73,-23
The Lord of the Rings: The Fellowship of the Ring,2001,101,50,51
The Philadelphia Story,1940,51,44,7
From Here to Eternity,1953,52,0,52
Amadeus,1984,53,0,53
All Quiet on the Western Front,1930,54,0,54
The Sound of Music,1965,55,40,15
MASH,1970,56,54,2
The Third Man,1949,57,0,57
Fantasia,1940,58,0,58
Rebel Without a Cause,1955,59,0,59
Nashville,1975,101,59,42
Raiders of the Lost Ark,1981,60,66,-6
Vertigo,1958,61,9,52
Sullivan's Travels,1941,101,61,40
Tootsie,1982,62,69,-7
Stagecoach,1939,63,0,63
Cabaret,1972,101,63,38
Close Encounters of the Third Kind,1977,64,0,64
The Silence of the Lambs,1991,65,74,-9
Network,1976,66,64,2
The Manchurian Candidate,1962,67,0,67
Who's Afraid of Virginia Woolf?,1966,101,67,34
An American in Paris,1951,68,0,68
Shane,1953,69,45,24
The French Connection,1971,70,93,-23
Forrest Gump,1994,71,76,-5
Saving Private Ryan,1998,101,71,30
Ben-Hur,1959,72,100,-28
The Shawshank Redemption,1994,101,72,29
Wuthering Heights,1939,73,0,73
The Gold Rush,1925,74,58,16
Dances with Wolves,1990,75,0,75
In the Heat of the Night,1967,101,75,26
City Lights,1931,76,11,65
American Graffiti,1973,77,62,15
All the President's Men,1976,101,77,24
Rocky,1976,78,57,21
The Deer Hunter,1978,79,53,26
The Wild Bunch,1969,80,79,1
Modern Times,1936,81,78,3
Spartacus,1960,101,81,20
Giant,1956,82,0,82
Sunrise: A Song of Two Humans,1927,101,82,19
Platoon,1986,83,86,-3
Titanic,1997,101,83,18
Fargo,1996,84,0,84
Duck Soup,1933,85,60,25
A Night at the Opera,1935,101,85,16
Mutiny on the Bounty,1935,86,0,86
Frankenstein,1931,87,0,87
12 Angry Men,1957,101,87,14
Easy Rider,1969,88,84,4
Patton,1970,89,0,89
The Sixth Sense,1999,101,89,12
The Jazz Singer,1927,90,0,90
Swing Time,1936,101,90,11
My Fair Lady,1964,91,0,91
Sophie's Choice,1982,101,91,10
A Place in the Sun,1951,92,0,92
The Apartment,1960,93,80,13
Goodfellas,1990,94,92,2
Pulp Fiction,1994,95,94,1
The Last Picture Show,1971,101,95,6
The Searchers,1956,96,12,84
Do the Right Thing,1989,101,96,5
Bringing Up Baby,1938,97,88,9
Blade Runner,1982,101,97,4
Unforgiven,1992,98,68,30
Guess Who's Coming to Dinner,1967,99,0,99
Toy Story,1995,101,99,2
Yankee Doodle Dandy,1942,100,98,2
