Ranking,Song,Film,Year,Performer
1,Over the Rainbow,The Wizard of Oz,1939,Judy Garland
2,As Time Goes By,Casablanca,1942,Dooley Wilson
3,Singin' in the Rain,Singin' in the Rain,1952,Gene Kelly
4,Moon River,Breakfast at Tiffany's,1961,Audrey Hepburn
5,White Christmas,Holiday Inn,1942,Bing Crosby
6,Mrs. Robinson,The Graduate,1967,Simon & Garfunkel
7,When You Wish upon a Star,Pinocchio,1940,Cliff Edwards(as Jiminy Cricket)
8,The Way We Were,The Way We Were,1973,Barbra Streisand
9,Stayin' Alive,Saturday Night Fever,1977,The Bee Gees
10,The Sound of Music,The Sound of Music,1965,Julie Andrews
11,The Man That Got Away,A Star Is Born,1954,Judy Garland
12,Diamonds Are a Girl's Best Friend,Gentlemen Prefer Blondes,1953,Marilyn Monroe
13,People,Funny Girl,1968,Barbra Streisand
14,My Heart Will Go On,Titanic,1997,Celine Dion
15,Cheek to Cheek,Top Hat,1935,"Fred Astaire, Ginger Rogers"
16,Evergreen (Love Theme from A Star Is Born),A Star Is Born,1976,Barbra Streisand
17,I Could Have Danced All Night,My Fair Lady,1964,Marni Nixon (dubbing Audrey Hepburn)
18,Cabaret,Cabaret,1972,Liza Minelli
19,Some Day My Prince Will Come,Snow White and the Seven Dwarfs,1937,Adriana Caselotti(as Snow White)
20,Somewhere,West Side Story,1961,"Jimmy Bryant, Marni Nixon"
21,Jailhouse Rock,Jailhouse Rock,1957,Elvis Presley
22,Everybody's Talkin',Midnight Cowboy,1969,Harry Nilsson
23,Raindrops Keep Fallin' on My Head,Butch Cassidy and the Sundance Kid,1969,B.J. Thomas
24,Ol' Man River,Show Boat,1936,Paul Robeson
25,"High Noon (Do Not Forsake Me, Oh My Darlin')",High Noon,1952,Tex Ritter
26,The Trolley Song,Meet Me in St. Louis,1944,Judy Garland
27,Unchained Melody,Ghost,1990,The Righteous Brothers
28,Some Enchanted Evening,South Pacific,1958,Giorgio Tozzi
29,Born to Be Wild,Easy Rider,1969,Steppenwolf
30,Stormy Weather,Stormy Weather,1943,Lena Horne
31,"Theme from New York, New York","New York, New York",1977,Liza Minnelli
32,I Got Rhythm,An American in Paris,1951,Gene Kelly
33,Aquarius,Hair,1979,"Ren Woods, Ensemble"
34,Let's Call the Whole Thing Off,Shall We Dance,1937,"Fred Astaire, Ginger Rogers"
35,America,West Side Story,1961,"Rita Moreno, George Chakiris, Ensemble"
36,Supercalifragilisticexpialidocious,Mary Poppins,1964,"Julie Andrews, Dick Van Dyke, Ensemble"
37,Swinging on a Star,Going My Way,1944,Bing Crosby
38,Theme from Shaft,Shaft,1971,"Isaac Hayes, Chorus"
39,Days of Wine and Roses,Days of Wine and Roses,1962,Chorus
40,Fight the Power,Do the Right Thing,1989,Public Enemy
41,"New York, New York",On the Town,1949,"Gene Kelly, Frank Sinatra, and Jules Munshin"
42,Luck Be a Lady,Guys and Dolls,1955,"Marlon Brando, Ensemble"
43,The Way You Look Tonight,Swing Time,1936,Fred Astaire
44,Wind Beneath My Wings,Beaches,1988,Bette Midler
45,That's Entertainment,The Band Wagon,1953,"Fred Astaire, Jack Buchanan, Nanette Fabray, Oscar Levant"
46,Don't Rain on My Parade,Funny Girl,1968,Barbra Streisand
47,Zip-a-Dee-Doo-Dah,Song of the South,1947,James Baskett
48,"Que Sera, Sera (Whatever Will Be, Will Be)",The Man Who Knew Too Much,1956,Doris Day
49,Make 'Em Laugh,Singin' in the Rain,1952,Donald O'Connor
50,Rock Around the Clock,Blackboard Jungle,1955,Bill Haley and His Comets
