"year","school","grade","gender","students"
"2006-2007","Harrisonburg High","09","F",194
"2006-2007","Harrisonburg High","09","M",235
"2006-2007","Harrisonburg High","09","",429
"2006-2007","Harrisonburg High","10","F",166
"2006-2007","Harrisonburg High","10","M",189
"2006-2007","Harrisonburg High","10","",355
"2006-2007","Harrisonburg High","11","F",160
"2006-2007","Harrisonburg High","11","M",150
"2006-2007","Harrisonburg High","11","",310
"2006-2007","Harrisonburg High","12","F",136
"2006-2007","Harrisonburg High","12","M",151
"2006-2007","Harrisonburg High","12","",287
"2006-2007","Harrisonburg High","","F",656
"2006-2007","Harrisonburg High","","M",725
"2006-2007","Harrisonburg High","","",1381
"2006-2007","Keister Elementary","01","F",61
"2006-2007","Keister Elementary","01","M",51
"2006-2007","Keister Elementary","01","",112
"2006-2007","Keister Elementary","02","F",39
"2006-2007","Keister Elementary","02","M",43
"2006-2007","Keister Elementary","02","",82
"2006-2007","Keister Elementary","03","F",36
"2006-2007","Keister Elementary","03","M",48
"2006-2007","Keister Elementary","03","",84
"2006-2007","Keister Elementary","04","F",40
"2006-2007","Keister Elementary","04","M",39
"2006-2007","Keister Elementary","04","",79
"2006-2007","Keister Elementary","05","F",31
"2006-2007","Keister Elementary","05","M",54
"2006-2007","Keister Elementary","05","",85
"2006-2007","Keister Elementary","KG","F",35
"2006-2007","Keister Elementary","KG","M",49
"2006-2007","Keister Elementary","KG","",84
"2006-2007","Keister Elementary","","F",242
"2006-2007","Keister Elementary","","M",284
"2006-2007","Keister Elementary","","",526
"2006-2007","Spotswood Elementary","01","F",41
"2006-2007","Spotswood Elementary","01","M",34
"2006-2007","Spotswood Elementary","01","",75
"2006-2007","Spotswood Elementary","02","F",43
"2006-2007","Spotswood Elementary","02","M",32
"2006-2007","Spotswood Elementary","02","",75
"2006-2007","Spotswood Elementary","03","F",48
"2006-2007","Spotswood Elementary","03","M",34
"2006-2007","Spotswood Elementary","03","",82
"2006-2007","Spotswood Elementary","04","F",39
"2006-2007","Spotswood Elementary","04","M",30
"2006-2007","Spotswood Elementary","04","",69
"2006-2007","Spotswood Elementary","05","F",31
"2006-2007","Spotswood Elementary","05","M",40
"2006-2007","Spotswood Elementary","05","",71
"2006-2007","Spotswood Elementary","KG","F",40
"2006-2007","Spotswood Elementary","KG","M",43
"2006-2007","Spotswood Elementary","KG","",83
"2006-2007","Spotswood Elementary","","F",242
"2006-2007","Spotswood Elementary","","M",213
"2006-2007","Spotswood Elementary","","",455
"2006-2007","Stone Spring Elementary","01","F",45
"2006-2007","Stone Spring Elementary","01","M",63
"2006-2007","Stone Spring Elementary","01","",108
"2006-2007","Stone Spring Elementary","02","F",48
"2006-2007","Stone Spring Elementary","02","M",49
"2006-2007","Stone Spring Elementary","02","",97
"2006-2007","Stone Spring Elementary","03","F",42
"2006-2007","Stone Spring Elementary","03","M",53
"2006-2007","Stone Spring Elementary","03","",95
"2006-2007","Stone Spring Elementary","04","F",55
"2006-2007","Stone Spring Elementary","04","M",40
"2006-2007","Stone Spring Elementary","04","",95
"2006-2007","Stone Spring Elementary","05","F",55
"2006-2007","Stone Spring Elementary","05","M",42
"2006-2007","Stone Spring Elementary","05","",97
"2006-2007","Stone Spring Elementary","KG","F",42
"2006-2007","Stone Spring Elementary","KG","M",51
"2006-2007","Stone Spring Elementary","KG","",93
"2006-2007","Stone Spring Elementary","","F",287
"2006-2007","Stone Spring Elementary","","M",298
"2006-2007","Stone Spring Elementary","","",585
"2006-2007","Thomas Harrison Middle","06","F",160
"2006-2007","Thomas Harrison Middle","06","M",160
"2006-2007","Thomas Harrison Middle","06","",320
"2006-2007","Thomas Harrison Middle","07","F",140
"2006-2007","Thomas Harrison Middle","07","M",146
"2006-2007","Thomas Harrison Middle","07","",286
"2006-2007","Thomas Harrison Middle","08","F",153
"2006-2007","Thomas Harrison Middle","08","M",156
"2006-2007","Thomas Harrison Middle","08","",309
"2006-2007","Thomas Harrison Middle","","F",453
"2006-2007","Thomas Harrison Middle","","M",462
"2006-2007","Thomas Harrison Middle","","",915
"2006-2007","Waterman Elementary","01","F",53
"2006-2007","Waterman Elementary","01","M",50
"2006-2007","Waterman Elementary","01","",103
"2006-2007","Waterman Elementary","02","F",44
"2006-2007","Waterman Elementary","02","M",59
"2006-2007","Waterman Elementary","02","",103
"2006-2007","Waterman Elementary","03","F",35
"2006-2007","Waterman Elementary","03","M",40
"2006-2007","Waterman Elementary","03","",75
"2006-2007","Waterman Elementary","04","F",45
"2006-2007","Waterman Elementary","04","M",37
"2006-2007","Waterman Elementary","04","",82
"2006-2007","Waterman Elementary","05","F",50
"2006-2007","Waterman Elementary","05","M",28
"2006-2007","Waterman Elementary","05","",78
"2006-2007","Waterman Elementary","KG","F",53
"2006-2007","Waterman Elementary","KG","M",60
"2006-2007","Waterman Elementary","KG","",113
"2006-2007","Waterman Elementary","","F",280
"2006-2007","Waterman Elementary","","M",274
"2006-2007","Waterman Elementary","","",554
"2006-2007","","01","F",200
"2006-2007","","01","M",198
"2006-2007","","01","",398
"2006-2007","","02","F",174
"2006-2007","","02","M",183
"2006-2007","","02","",357
"2006-2007","","03","F",161
"2006-2007","","03","M",175
"2006-2007","","03","",336
"2006-2007","","04","F",179
"2006-2007","","04","M",146
"2006-2007","","04","",325
"2006-2007","","05","F",167
"2006-2007","","05","M",164
"2006-2007","","05","",331
"2006-2007","","06","F",160
"2006-2007","","06","M",160
"2006-2007","","06","",320
"2006-2007","","07","F",140
"2006-2007","","07","M",146
"2006-2007","","07","",286
"2006-2007","","08","F",153
"2006-2007","","08","M",156
"2006-2007","","08","",309
"2006-2007","","09","F",194
"2006-2007","","09","M",235
"2006-2007","","09","",429
"2006-2007","","10","F",166
"2006-2007","","10","M",189
"2006-2007","","10","",355
"2006-2007","","11","F",160
"2006-2007","","11","M",150
"2006-2007","","11","",310
"2006-2007","","12","F",136
"2006-2007","","12","M",151
"2006-2007","","12","",287
"2006-2007","","KG","F",170
"2006-2007","","KG","M",203
"2006-2007","","KG","",373
"2006-2007","","","F",2160
"2006-2007","","","M",2256
"2006-2007","","","",4416
"2007-2008","Harrisonburg High","09","F",180
"2007-2008","Harrisonburg High","09","M",186
"2007-2008","Harrisonburg High","09","",366
"2007-2008","Harrisonburg High","10","F",156
"2007-2008","Harrisonburg High","10","M",188
"2007-2008","Harrisonburg High","10","",344
"2007-2008","Harrisonburg High","11","F",140
"2007-2008","Harrisonburg High","11","M",178
"2007-2008","Harrisonburg High","11","",318
"2007-2008","Harrisonburg High","12","F",159
"2007-2008","Harrisonburg High","12","M",148
"2007-2008","Harrisonburg High","12","",307
"2007-2008","Harrisonburg High","","F",635
"2007-2008","Harrisonburg High","","M",700
"2007-2008","Harrisonburg High","","",1335
"2007-2008","Keister Elementary","01","F",37
"2007-2008","Keister Elementary","01","M",46
"2007-2008","Keister Elementary","01","",83
"2007-2008","Keister Elementary","02","F",46
"2007-2008","Keister Elementary","02","M",39
"2007-2008","Keister Elementary","02","",85
"2007-2008","Keister Elementary","03","F",34
"2007-2008","Keister Elementary","03","M",41
"2007-2008","Keister Elementary","03","",75
"2007-2008","Keister Elementary","04","F",29
"2007-2008","Keister Elementary","04","M",48
"2007-2008","Keister Elementary","04","",77
