"year","school","gender","test","level","avg_score","pass_rate","fail_rate"
"2006-2007","Harrisonburg High","F","Algebra I","EOC",463,92.81,7.19
"2006-2007","Harrisonburg High","F","Algebra I","",463,92.81,7.19
"2006-2007","Harrisonburg High","F","Algebra II","EOC",465,88.5,11.5
"2006-2007","Harrisonburg High","F","Algebra II","",465,88.5,11.5
"2006-2007","Harrisonburg High","F","Biology","EOC",450,86.58,13.42
"2006-2007","Harrisonburg High","F","Biology","",450,86.58,13.42
"2006-2007","Harrisonburg High","F","Chemistry","EOC",442,91.59,8.41
"2006-2007","Harrisonburg High","F","Chemistry","",442,91.59,8.41
"2006-2007","Harrisonburg High","F","Earth Science","EOC",440,78.57,21.43
"2006-2007","Harrisonburg High","F","Earth Science","",440,78.57,21.43
"2006-2007","Harrisonburg High","F","English Reading","EOC",488,93.08,6.92
"2006-2007","Harrisonburg High","F","English Reading","",487,92.5,7.5
"2006-2007","Harrisonburg High","F","Geography","EOC",477,77.78,22.22
"2006-2007","Harrisonburg High","F","Geography","",477,77.78,22.22
"2006-2007","Harrisonburg High","F","Geometry","EOC",472,90.71,9.29
"2006-2007","Harrisonburg High","F","Geometry","",472,90.71,9.29
"2006-2007","Harrisonburg High","F","VA & US History","EOC",481,89.66,10.34
"2006-2007","Harrisonburg High","F","VA & US History","",481,89.66,10.34
"2006-2007","Harrisonburg High","F","World History I","EOC",460,92,8
"2006-2007","Harrisonburg High","F","World History I","",460,92,8
"2006-2007","Harrisonburg High","F","World History II","EOC",500,96.63,3.37
"2006-2007","Harrisonburg High","F","World History II","",500,96.63,3.37
"2006-2007","Harrisonburg High","F","Writing","EOC",476,95.27,4.73
"2006-2007","Harrisonburg High","F","Writing","",476,95.27,4.73
"2006-2007","Harrisonburg High","F","","",444,84.71,15.29
"2006-2007","Harrisonburg High","F","","",466,90.61,9.39
"2006-2007","Harrisonburg High","F","","",476,91.59,8.41
"2006-2007","Harrisonburg High","F","","",476,95.27,4.73
"2006-2007","Harrisonburg High","F","","",487,92.5,7.5
"2006-2007","Harrisonburg High","M","Algebra I","EOC",466,92.8,7.2
"2006-2007","Harrisonburg High","M","Algebra I","",466,92.8,7.2
"2006-2007","Harrisonburg High","M","Algebra II","EOC",479,89.38,10.62
"2006-2007","Harrisonburg High","M","Algebra II","",479,89.38,10.62
"2006-2007","Harrisonburg High","M","Biology","EOC",453,85.53,14.47
"2006-2007","Harrisonburg High","M","Biology","",453,85.53,14.47
"2006-2007","Harrisonburg High","M","Chemistry","EOC",452,91.57,8.43
"2006-2007","Harrisonburg High","M","Chemistry","",452,91.57,8.43
"2006-2007","Harrisonburg High","M","Earth Science","EOC",453,86.27,13.73
"2006-2007","Harrisonburg High","M","Earth Science","",453,86.27,13.73
"2006-2007","Harrisonburg High","M","English Reading","EOC",470,90.07,9.93
"2006-2007","Harrisonburg High","M","English Reading","",470,90.07,9.93
"2006-2007","Harrisonburg High","M","Geography","EOC",464,80.95,19.05
"2006-2007","Harrisonburg High","M","Geography","",464,80.95,19.05
"2006-2007","Harrisonburg High","M","Geometry","EOC",474,92.25,7.75
"2006-2007","Harrisonburg High","M","Geometry","",474,92.25,7.75
"2006-2007","Harrisonburg High","M","VA & US History","EOC",480,88.41,11.59
"2006-2007","Harrisonburg High","M","VA & US History","",480,88.41,11.59
"2006-2007","Harrisonburg High","M","World History I","EOC",483,89.53,10.47
"2006-2007","Harrisonburg High","M","World History I","",483,89.53,10.47
"2006-2007","Harrisonburg High","M","World History II","EOC",513,100,0
"2006-2007","Harrisonburg High","M","World History II","",513,100,0
"2006-2007","Harrisonburg High","M","Writing","EOC",457,89.54,10.46
"2006-2007","Harrisonburg High","M","Writing","",457,89.54,10.46
"2006-2007","Harrisonburg High","M","","",453,87.1,12.9
"2006-2007","Harrisonburg High","M","","",457,89.54,10.46
"2006-2007","Harrisonburg High","M","","",470,90.07,9.93
"2006-2007","Harrisonburg High","M","","",473,91.38,8.62
"2006-2007","Harrisonburg High","M","","",486,90.65,9.35
"2006-2007","Harrisonburg High","","Algebra I","EOC",464,92.8,7.2
"2006-2007","Harrisonburg High","","Algebra I","",464,92.8,7.2
"2006-2007","Harrisonburg High","","Algebra II","EOC",472,88.94,11.06
"2006-2007","Harrisonburg High","","Algebra II","",472,88.94,11.06
"2006-2007","Harrisonburg High","","Biology","EOC",451,86.05,13.95
"2006-2007","Harrisonburg High","","Biology","",451,86.05,13.95
"2006-2007","Harrisonburg High","","Chemistry","EOC",446,91.58,8.42
"2006-2007","Harrisonburg High","","Chemistry","",446,91.58,8.42
"2006-2007","Harrisonburg High","","Earth Science","EOC",447,82.8,17.2
"2006-2007","Harrisonburg High","","Earth Science","",447,82.8,17.2
"2006-2007","Harrisonburg High","","English Reading","EOC",479,91.61,8.39
"2006-2007","Harrisonburg High","","English Reading","",479,91.32,8.68
"2006-2007","Harrisonburg High","","Geography","EOC",470,79.49,20.51
"2006-2007","Harrisonburg High","","Geography","",470,79.49,20.51
"2006-2007","Harrisonburg High","","Geometry","EOC",473,91.49,8.51
"2006-2007","Harrisonburg High","","Geometry","",473,91.49,8.51
"2006-2007","Harrisonburg High","","VA & US History","EOC",481,89.05,10.95
"2006-2007","Harrisonburg High","","VA & US History","",481,89.05,10.95
"2006-2007","Harrisonburg High","","World History I","EOC",472,90.71,9.29
"2006-2007","Harrisonburg High","","World History I","",472,90.71,9.29
"2006-2007","Harrisonburg High","","World History II","EOC",506,98.17,1.83
"2006-2007","Harrisonburg High","","World History II","",506,98.17,1.83
"2006-2007","Harrisonburg High","","Writing","EOC",467,92.55,7.45
"2006-2007","Harrisonburg High","","Writing","",467,92.55,7.45
"2006-2007","Harrisonburg High","","","",448,85.93,14.07
"2006-2007","Harrisonburg High","","","",467,92.55,7.45
"2006-2007","Harrisonburg High","","","",470,90.99,9.01
"2006-2007","Harrisonburg High","","","",479,91.32,8.68
"2006-2007","Harrisonburg High","","","",481,91.12,8.88
"2006-2007","Keister Elementary","F","English Reading","3",469,67.86,32.14
"2006-2007","Keister Elementary","F","English Reading","4",489,86.49,13.51
"2006-2007","Keister Elementary","F","English Reading","5",442,70,30
"2006-2007","Keister Elementary","F","English Reading","",468,75.79,24.21
"2006-2007","Keister Elementary","F","History","3",514,96.3,3.7
"2006-2007","Keister Elementary","F","History","CST",446,70,30
"2006-2007","Keister Elementary","F","History","",478,82.46,17.54
"2006-2007","Keister Elementary","F","Mathematics","3",481,82.14,17.86
"2006-2007","Keister Elementary","F","Mathematics","4",491,91.89,8.11
"2006-2007","Keister Elementary","F","Mathematics","5",468,80,20
"2006-2007","Keister Elementary","F","Mathematics","",481,85.26,14.74
"2006-2007","Keister Elementary","F","Science","3",486,81.48,18.52
"2006-2007","Keister Elementary","F","Science","5",446,83.33,16.67
"2006-2007","Keister Elementary","F","Science","",465,82.46,17.54
"2006-2007","Keister Elementary","F","Writing","5",453,76.67,23.33
"2006-2007","Keister Elementary","F","Writing","",453,76.67,23.33
"2006-2007","Keister Elementary","F","","",453,76.67,23.33
"2006-2007","Keister Elementary","F","","",465,82.46,17.54
"2006-2007","Keister Elementary","F","","",468,75.79,24.21
"2006-2007","Keister Elementary","F","","",478,82.46,17.54
"2006-2007","Keister Elementary","F","","",481,85.26,14.74
"2006-2007","Keister Elementary","M","English Reading","3",453,71.74,28.26
"2006-2007","Keister Elementary","M","English Reading","4",486,82.93,17.07
"2006-2007","Keister Elementary","M","English Reading","5",429,69.57,30.43
"2006-2007","Keister Elementary","M","English Reading","",455,74.44,25.56
"2006-2007","Keister Elementary","M","History","3",519,86.96,13.04
"2006-2007","Keister Elementary","M","History","CST",453,73.33,26.67
"2006-2007","Keister Elementary","M","History","",486,80.22,19.78
"2006-2007","Keister Elementary","M","Mathematics","3",483,85.42,14.58
"2006-2007","Keister Elementary","M","Mathematics","4",488,80,20
"2006-2007","Keister Elementary","M","Mathematics","5",459,78.26,21.74
"2006-2007","Keister Elementary","M","Mathematics","",476,81.34,18.66
"2006-2007","Keister Elementary","M","Science","3",495,89.13,10.87
"2006-2007","Keister Elementary","M","Science","5",447,82.22,17.78
"2006-2007","Keister Elementary","M","Science","",471,85.71,14.29
"2006-2007","Keister Elementary","M","Writing","5",439,75.61,24.39
"2006-2007","Keister Elementary","M","Writing","",439,75.61,24.39
"2006-2007","Keister Elementary","M","","",439,75.61,24.39
"2006-2007","Keister Elementary","M","","",455,74.44,25.56
"2006-2007","Keister Elementary","M","","",471,85.71,14.29
"2006-2007","Keister Elementary","M","","",476,81.34,18.66
"2006-2007","Keister Elementary","M","","",486,80.22,19.78
"2006-2007","Keister Elementary","","English Reading","3",459,70.27,29.73
"2006-2007","Keister Elementary","","English Reading","4",488,84.62,15.38
"2006-2007","Keister Elementary","","English Reading","5",434,69.74,30.26
"2006-2007","Keister Elementary","","English Reading","",460,75,25
"2006-2007","Keister Elementary","","History","3",517,90.41,9.59
"2006-2007","Keister Elementary","","History","CST",450,72,28
"2006-2007","Keister Elementary","","History","",483,81.08,18.92
"2006-2007","Keister Elementary","","Mathematics","3",482,84.21,15.79
"2006-2007","Keister Elementary","","Mathematics","4",489,85.71,14.29
"2006-2007","Keister Elementary","","Mathematics","5",463,78.95,21.05
"2006-2007","Keister Elementary","","Mathematics","",478,82.97,17.03
"2006-2007","Keister Elementary","","Science","3",492,86.3,13.7
"2006-2007","Keister Elementary","","Science","5",446,82.67,17.33
"2006-2007","Keister Elementary","","Science","",469,84.46,15.54
"2006-2007","Keister Elementary","","Writing","5",445,76.06,23.94
"2006-2007","Keister Elementary","","Writing","",445,76.06,23.94
"2006-2007","Keister Elementary","","","",445,76.06,23.94
"2006-2007","Keister Elementary","","","",460,75,25
"2006-2007","Keister Elementary","","","",469,84.46,15.54
"2006-2007","Keister Elementary","","","",478,82.97,17.03
"2006-2007","Keister Elementary","","","",483,81.08,18.92
"2006-2007","Spotswood Elementary","F","English Reading","3",438,67.44,32.56
"2006-2007","Spotswood Elementary","F","English Reading","4",434,56.1,43.9
"2006-2007","Spotswood Elementary","F","English Reading","5",441,61.11,38.89
"2006-2007","Spotswood Elementary","F","English Reading","",437,61.67,38.33
"2006-2007","Spotswood Elementary","F","History","3",502,97.06,2.94
"2006-2007","Spotswood Elementary","F","History","CST",434,62.86,37.14
"2006-2007","Spotswood Elementary","F","History","",467,79.71,20.29
"2006-2007","Spotswood Elementary","F","Mathematics","3",476,90.48,9.52
"2006-2007","Spotswood Elementary","F","Mathematics","4",435,66.67,33.33
"2006-2007","Spotswood Elementary","F","Mathematics","5",446,64.86,35.14
"2006-2007","Spotswood Elementary","F","Mathematics","",453,74.58,25.42
